5.0	Eine Person schneidet eine Zwiebel.	Eine Person schneidet eine Zwiebel.
1.0	Ein Mann spielt Klavier.	Eine Frau spielt Geige.
1.0	Eine Frau spielt Flöte.	Ein Mann spielt Gitarre.
2.375	Ein Mann schneidet eine Kartoffel auf.	Ein Mann schneidet Karotten auf.
3.8	Ein Kind spielt Gitarre.	Ein Junge spielt Gitarre.
3.2	Ein Junge spielt Gitarre.	Ein Mann spielt Gitarre.
3.2	Ein Mann spielt Gitarre.	Ein Junge spielt Gitarre.
4.4	Ein kleiner Junge spielt eine Tastatur.	Ein Junge spielt Schlüsselbrett.
3.75	Ein Mann spielt Gitarre.	Ein Mann spielt eine E-Gitarre.
4.75	Ein Hund leckt ein Baby.	Ein Hund leckt ein Baby.
3.2	Eine Frau schneidet eine Zwiebel.	Ein Mann schneidet und Zwiebel.
1.556	Ein Mann spielt Gitarre.	Ein Mann spielt Schlagzeug.
3.938	Eine Frau schneidet einen Pfeffer.	Eine Frau schneidet einen roten Pfeffer.
5.0	Ein Mann spielt Schlagzeug.	Ein Mann spielt die Trommel.
5.0	Eine Frau reitet ein Pferd.	Eine Frau reitet ein Pferd.
4.0	Ein Mann isst eine Banane an einem Baum.	Ein Mann isst eine Banane.
1.6	Eine Katze spielt ein Schlüsselbrett.	Ein Mann spielt zwei Tastaturen.
4.75	Ein Mann kotelt einen Baum mit einer Axt herunter.	Ein Mann schneidet einen Baum mit einer Axt.
3.5	Ein Kind spielt mit einem Spielzeugtelefon.	Ein kleiner Junge spielt mit einem Spielzeugtelefon.
1.4	Ein Mann fährt Motorrad.	Ein Mann reitet auf einem Pferd.
1.4	Ein Mann fährt Motorrad.	Ein Mann reitet auf einem Pferd.
4.0	Ein Eichhörnchen dreht sich in Kreisen um.	Ein Eichhörnchen läuft in Kreisen herum.
5.0	Ein Mann und eine Frau küssen.	Ein Mann und eine Frau Kuss.
3.833	Ein Mann steigt in ein Auto.	Ein Mann steigt in ein Auto in einer Garage.
0.6	Ein Mann tanzt.	Ein Mann redet.
2.917	Ein Mann spielt Gitarre und singt.	Ein Mann spielt Gitarre.
4.2	Eine Person schneidet Pilze.	Eine Person schneidet Pilze mit einem Messer.
2.0	Ein Tigerjunge macht ein Geräusch.	Ein Tiger läuft herum.
2.6	Eine Person schneidet Zwiebeln.	Eine Person schält eine Zwiebel.
1.6	Ein Mann spielt Klavier.	Ein Mann spielt Trompete.
2.0	Eine Frau schält eine Kartoffel.	Eine Frau schält einen Apfel.
4.2	Eine Pankda isst Bambus.	Ein Pandabär frisst Bambus.
2.0	Eine Person schält eine Zwiebel.	Eine Person schält eine Aubergine.
4.8	Ein Affe schiebt einen anderen Affen.	Der Affe hat den anderen Affen geschoben.
4.4	Ein Eichhörnchen läuft in Kreisen herum.	Ein Eichhörnchen bewegt sich in Kreisen.
5.0	Ein Mann bindet seinen Schuh.	Ein Mann bindet seinen Schuh.
3.0	Ein Junge singt und spielt Klavier.	Ein Junge spielt Klavier.
4.25	Ein Hund isst Wassermelone.	Ein Hund isst ein Stück Wassermelone.
4.25	Eine Frau schneidet Brokkoli.	Eine Frau schneidet Brokkoli mit einem Messer.
3.8	Ein Mann schält eine Kartoffel.	Ein Mann hat eine Kartoffel geschält.
2.4	Eine Frau spielt Gitarre.	Ein Mann spielt Gitarre.
1.6	Eine Frau schneidet Tomate.	Ein Mann schneidet Zwiebel.
2.0	Ein Mann schwimmt unter Wasser.	Eine Frau schwimmt unter Wasser.
1.6	Ein Mann und eine Frau reden.	Ein Mann und eine Frau essen.
4.0	Ein kleiner Hund jagt einen Yoga-Ball.	Ein Hund jagt einen Ball.
2.2	Die Männer spielen Cricket.	Die Männer spielen Basketball.
4.4	Ein Mann fährt auf einem Motorrad.	Ein Mann fährt auf einem Motorrad.
3.6	Ein Mann spielt Gitarre.	Ein Mann singt und spielt Gitarre.
3.6	Der Mann sprach am Telefon.	Der Mann spricht am Telefon.
0.5	Ein Mann ist angeln.	Ein Mann trainiert.
0.8	Ein Mann schweben.	Ein Mann redet.
0.6	Zwei Jungs fahren.	Zwei Buchten tanzen.
2.6	Ein Mann reitet auf einem Pferd.	Ein Mädchen reitet auf einem Pferd.
2.0	Ein Mann fährt Fahrrad.	Ein Affe fährt mit dem Fahrrad.
2.2	Ein Mann schneidet Kartoffeln.	Eine Frau schält Kartoffel.
2.4	Eine Frau schält eine Kartoffel.	Ein Mann schneidet Kartoffel.
3.6	Ein Mann spielt Gitarre.	Somioen spielt Gitarre.
2.2	Eine Frau schneidet einen Lauch.	Eine Frau schneidet Ingwer.
4.8	Der Mann hat einen Pappteller geschnitten.	Ein Mann schneidet einen Pappteller.
1.643	Der Mann spielt Gitarre.	Ein Mann spielt Flöte.
1.75	Ein Mann spielt Klavier.	Der Mann spielt Geige.
2.25	Eine Frau schneidet Fleisch auf.	Eine Frau paniert etwas Fleisch.
4.0	Ein Mann spielt auf seiner Tastatur.	Ein Mann spielt Klavier.
4.8	Die Dame zerkleinerte die grünen Zwiebeln.	Die Dame zerschnitt eine grüne Zwiebel.
3.2	Jemand sitzt Nudeln im Wasser.	Eine Frau kocht Nudeln in Wasser.
4.0	Lionel Richie tanzt an der Decke.	Lionel Ritchie tanzt, während er an der Decke steht.
4.4	Ein Mann spielt Klavier.	Eine Person spielt Klavier.
4.6	Eine Frau spielt Flöte.	Eine Frau spielt auf einer Flöte.
3.8	Ein Junge überprüft einen Kalender.	Ein Junge schaut sich einen Kalender an.
4.8	Eine Frau schneidet eine Zwiebel.	Eine Frau hacken Zwiebeln.
4.857	Ein Mann spielt Gitarre.	Ein Mann spielt Gitarre.
5.0	Eine Frau benutzt eine Nähmaschine.	Eine Frau näht sich an einer Maschine.
2.533	Eine Frau flippt Pfannkuchen.	Ein Cartoon-Koch flippt Pfannkuchen.
1.0	Ein Mann läuft auf der Straße.	Ein Auto fährt die Straße hinunter.
1.0	Ein Mann reitet auf einem Pferd.	Ein Mann spricht am Telefon.
2.0	Ein Mann fährt Fahrrad.	Ein Mann reitet auf einem Pferd.
0.143	Eine Frau tanzt.	Ein Mann isst.
2.0	Ein Mann spielt Klavier.	Ein Mann spielt Flöte.
1.6	Ein Mann spielt Flöte.	Ein Mann spielt Klavier.
1.6	Ein Mann dreht sich.	Ein Mann tanzt.
3.4	Ein Affe schwingt von Gliedmaßen zu Gliedmaßen.	Ein Affe schwingt von Baum zu Baum.
4.0	Die Leute kamen aus dem Zug.	Die Leute kamen am Bahnhof aus dem Zug.
4.8	Ein Hund springt auf einem Trampolin.	Ein Hund springt auf einem Trampolin.
2.5	Ein Junge spielt ein Instrument.	Ein Mann spielt Trompete.
1.75	Eine Frau spielt Gitarre.	Ein Mann singt und spielt Gitarre.
1.0	Eine Frau nimmt eine Dose.	Eine Frau schneidet eine Tomate.
5.0	Ein Mann klettert ein Seil.	Ein Mann klettert ein Seil hoch.
1.4	Ein Mann hebt ein Auto.	Ein Mann klettert eine Wand.
4.0	Ein Mann und eine Frau fahren in einem Jeep die Straße runter.	Ein Mann und eine Frau fahren in einem Freiluftfahrzeug die Straße hinunter.
3.8	Der hemdlose Mann saß auf einem Stuhl.	Ein hemdloser Mann sitzt auf einem Stuhl.
4.0	Zwei Frauen ringen.	Zwei Frauen ringen auf dem Boden.
4.0	Der Welpe spielte mit einem blauen Tennisball.	Ein Welpe spielt mit einem Tennisball.
4.8	Ein Kangroo frisst etwas.	Ein Känguru isst.
0.6	Eine Katze spielt Klavier.	Ein Mann spielt Gitarre.
4.75	Der Mann hat einen Teppich mit einem Messer geschnitten.	Ein Mann schneidet Teppich mit einem Messer.
2.2	Eine Frau fährt einen motorisierten Roller auf einer Straße.	Ein Mann fährt Motorroller.
3.0	jemand schneidet ein Gemüse.	Jemand schneidet eine Tomate.
0.0	Eine Frau tanzt.	Ein Mann redet.
2.2	Ein Hund leckt den Sabbern eines Babys an.	Ein Hund leckt ein Baby.
0.4	Ein Mann rudern ein Boot.	Ein Mann schneidet eine Tomate.
4.8	Ein Mann schneidet Kartoffel auf.	Ein Mann schneidet Kartoffeln.
4.8	Eine Frau schneidet Knoblauch auf.	Die Frau würfelt Knoblauch.
3.8	Ein Tier läuft in Kreisen.	Ein Eichhörnchen läuft in Kreisen.
3.0	Ein Mann geht langsam über eine Seilbrücke.	Ein Junge geht über eine Brücke.
4.0	Ein Mann spielt Gitarre.	Ein Mann, der in einem Raum sitzt, spielt Gitarre.
5.0	Ein Mann spielt Flöte.	Ein Mann spielt Flöte.
3.8	Eine Frau zerbricht zwei Eier in eine Glasschale.	Eine Frau knackt ein Ei in eine Schüssel.
3.0	Ein Mann schneidet einen Fisch.	Ein Mann hat einen Fisch geweidet.
4.4	Zwei Männer packen Koffer in den Kofferraum eines Autos.	Die Männer legen Koffer in den Kofferraum des Autos.
3.8	Ein Mann gießt Öl auf ein paar Tomaten.	Der Mann goss Öl auf die geschnittenen Tomaten.
3.0	Ein Mann schneidet etwas.	Ein Mann schneidet ein Brötchen.
0.667	Ein Mann paddelt mit dem Kanu.	Ein Mann spielt Harfe.
4.0	Ein Mann und eine Frau gehen zusammen durch den Wald.	Ein Mann und eine Frau gehen Arm in Arm durch einen bewaldeten Bereich.
3.75	Die Frau nahm das Känguru auf.	Eine Frau nimmt ein Baby Känguru auf.
4.133	Fische schwimmen.	Ein Fisch schwimmt.
4.0	Zwei Frauen mischen etwas in einer Küchenmaschine.	Zwei Frauen machen etwas in einem Mixer.
3.6	Eine Person surft eine große Welle.	Eine Person surft.
1.2	Ein Mann spielt Gitarre.	Ein Mann ersticht ein Ziel.
1.6	Ein Mann spielt eine Flöte in einer Band.	Ein Mann spielt Gitarre.
4.0	Der Mann breitete Butter auf dem Laib Brot aus.	Ein Mann breitet Butter auf Brot aus.
4.0	Eine Person kocht Nudeln.	Eine Frau kocht Nudeln in Wasser.
3.2	Eine Gruppe von Menschen tanzen auf einem Hügel.	Eine Gruppe von Menschen tanzen.
1.0	Ein Mann tanzt draußen.	Ein Mann spielt Flöte.
1.0	Eine Frau füttert einen Mann.	Eine Frau mischt Fleisch.
0.6	Ein Mann legt eine Pfanne in einen Ofen.	Eine Frau schneidet eine Zwiebel.
0.4	Eine Frau sitzt an einem Schreibtisch.	Eine Frau reitet auf einem Esel.
3.4	Sanitäter transportieren einen Patienten auf einer Bahre.	Ein Arzt stürzt einen Patienten auf einer Bahre.
3.6	Eine Frau spielt Flöte auf der Bühne.	Die Frau spielt Flöte.
3.0	Zwei Baby-Pandas spielen.	Zwei Pandas legen zusammen.
4.0	Ein Baby lacht.	Ein Baby lacht und kichert.
1.2	Ein Mann spielt Gitarre.	Ein Junge spielt Klavier.
0.6	Ein Mann faltet Papier.	Eine Frau schneidet einen Pfeffer.
1.6	Drei Frauen tanzen.	Der Mann tanzt.
2.6	Die Katzen spielen miteinander.	Zwei Katzen kämpfen sich gegenseitig.
3.6	Eine Person schreibt.	Eine Person schreibt mit einem Bleistift.
3.5	Ein Mann rennt.	Ein Mann läuft eine Straße entlang.
3.765	Die Frau rollt Teig.	Eine Frau blüht und rollt Teig.
2.75	Eine Frau fügt Gewürze auf einem Fleisch hinzu.	Frau fügt Zucker zu Fleisch hinzu.
2.25	Eine Frau fügt Öl auf Fische hinzu.	Eine Frau gießt Wasser auf Fisch.
2.75	Ein kleiner Junge hält eine Gitarre.	Ein kleiner Junge spielt Gitarre.
3.8	Ein Gepard läuft.	Ein Gepard läuft über ein Feld.
4.8	Der Mann isst Pizza.	Ein Mann isst eine Scheibe Pizza.
3.6	Ein Orang-Utan fährt mit dem Bus.	Ein Affe fährt in einem Bus.
1.2	Ein Mann und eine Frau reden in einem Diner.	Ein Mann und eine Frau fahren auf einem Fahrrad.
0.4	Ein Mann spielt Gitarre.	Ein Mann putzt eine Glastür.
2.4	Ein Mädchen singt und spielt Gitarre.	Ein junger Mann singt, während er Gitarre spielt.
3.941	Ein Mädchen kommuniziert mit Gebärdensprache.	Ein junges Mädchen benutzt Gebärdensprache.
0.5	Eine Frau macht Gewichtsübungen.	Eine Frau macht ihr Haar.
3.75	Ein Mann kommt in ein Auto.	Ein älterer Mann steigt in ein rotes Auto.
4.0	Ein großer grüner Ball schlägt eine Kartoffel um.	Ein großer grüner Ball trifft auf eine Kartoffel.
3.0	Eine Katze spielt Tastaturen.	Eine Katze spielt Klavier.
4.2	Zwei Hunde schwimmen in einem Pool.	Hunde schwimmen in einem Pool.
2.0	Der Mann benutzte einen Hubschrauber, um die Zwiebel zu hacken.	Der Mann benutzte eine Maschine, um eine Kartoffel zu hacken.
5.0	Eine Frau schneidet Tofu.	Eine Frau schneidet Tofu.
3.0	Eine Hirschherde überquert die Straße.	Eine Herde von Caribou überqueren eine Straße.
3.8	Die Person reitet auf dem Pferd.	Ein Mann reitet auf einem Pferd.
0.0	Jemand füttert ein Tier.	Jemand spielt Klavier.
0.0	Jemand schneidet Tortilas.	Jemand reitet ein Pferd.
0.25	Jemand mischt Zutaten.	Jemand näht Dinge.
4.0	Ein Hahn pickt an eine tote Maus.	Ein Huhn picken an einer toten Maus.
3.25	Eine Frau hält ein Känguru.	Eine Frau nimmt ein Känguru auf.
0.75	Ein Mann spielt mit Fröschen	Eine Katze spielt mit einer Kamera.
1.5	Zwei Männer reden.	Zwei Männer spielen Gitarre.
3.5	Ein Mann breitet Butter auf einem großen Stück Brot aus.	Ein Mann schmiert Butter auf eine Scheibe Knoblauchbrot.
3.0	Ein Mann läuft über einen hohen Draht.	Ein Mann läuft auf Seil.
0.2	Ein Mann mäht einen Rasen.	Eine Frau schneidet eine Zitrone.
0.8	Ein Mann öffnet eine Tür.	Ein Mann spielt Gitarre.
4.2	Ein Mann schneidet eine Kartoffel in Stücke.	Ein Mann schneidet eine Kartoffel.
3.8	Die Frau schneidet gekochten Tintenfisch.	Eine Frau hacken Oktopus.
0.4	Ein Mann schlägt durch Bretter.	Ein Hund läuft durch Wasser.
0.8	Ein Mann tanzt.	Ein Mann isst Brot.
1.2	Jemand spielt Klavier.	Ein Mann spielt Gitarre.
2.8	Zwei Füchse essen von einem Teller auf einer gemauerten Terrasse.	Füchse essen von einem Teller.
3.2	Ein Junge spielt ein Schlüsselbrett.	Ein Junge spielt Klavier.
5.0	Eine Person spielt eine Tastatur.	Jemand spielt eine Tastatur.
0.0	Ein Mann schießt eine Waffe.	Ein Mann spuckt.
1.0	Jemand schneidet eine Zwiebel.	Someoen schält eine Kartoffel.
0.0	Ein Mann schwimmt.	Eine Frau schneidet Fleisch.
3.75	Ein Mann spielt Gitarre.	Ein Mann spielt eine akustische Gitarre.
0.4	Eine Frau schneidet einen Kürbis.	Eine Frau reitet auf einem Elefanten.
0.4	Eine Frau tanzt.	Eine Frau knetet Teig.
0.6	Eine Frau knackt Eier in eine Schüssel.	Eine Frau legt Spieße auf ein Gestell.
4.0	Ein Auto bewegt sich durch eine Straße.	Ein Auto fährt die Straße hinunter.
0.4	Jemand schmiert eine Pfanne.	Smeone legt sich hin.
0.4	Ein Mann spielt Gitarre.	Ein Mann entwässert Pasta.
0.4	Eine Frau trinkt Wodka.	Eine Frau trainiert.
4.8	Eine Frau schneidet Fleisch in Stücke.	Eine Frau schneidet Fleisch auf.
0.6	Ein Mann spült ein Steak.	Ein Mann spielt Gitarre.
0.8	Ein Mann verkauft Gegenstände.	Ein Mann putzt das Haus.
3.2	Ein Mann springt eine Wand.	Ein Mann springt auf eine kurze Wand.
3.2	Läufer rennen um eine Strecke.	Läufer konkurrieren in einem Rennen.
0.6	Ein Mann trittet einen Fußball.	Ein Mann mischt eine Schüssel.
0.6	Eine Frau braten etwas.	Eine Frau reitet ein Pferd.
0.0	Eine Katze leckt einen Saugnapf.	Eine Frau schneidet Gurke.
1.4	Eine Frau tanzt von einem Feuer.	Eine Frau nimmt ein Bad.
2.2	Der Mann schneidet einen Fisch auf.	Ein Mann schneidet eine Kartoffel.
3.6	Butter schmilzt in einer Pfanne.	Ein Mann schmilzt Butter in einer Pfanne.
3.111	Drei Jungs tanzen.	Kinder tanzen.
0.6	Eine Frau spielt ein Spiel mit einem Mann.	Ein Mann spielt Klavier.
0.4	Der Mann fährt ein weißes Auto.	Ein Mann gibt ein Interview.
4.25	Ein Mann fuhr sein Auto.	Ein Mann fährt ein Auto.
3.0	Ein Auto kehrt aus einem Raum zurück.	Ein Auto wird aus einer gesperrten Fahrspur zurückgefahren.
5.0	Ein Mann legt etwas Käse auf eine Pizza.	Der Mann bestreut Käse auf die Pizza.
5.0	Der Junge spielt Klavier.	Ein Junge spielt Klavier.
3.75	Der Mann spielte seine Gitarre.	Ein Mann spielt Gitarre.
0.2	Ein Mann reitet auf einem Pferd.	Ein Mann spielt eine Tastatur.
0.4	Ein Mann läuft auf einem Seil.	Ein Mann reitet auf einem Mo-Pad.
1.286	Ein Mädchen spielt Flöte.	Eine Band spielt auf einer Bühne.
4.6	Leute steigen aus einem Zug.	Eine Gruppe Leute steigen aus dem Zug aus.
0.6	Eine Frau näht sich an einer Maschine.	Eine Frau paniert etwas Fleisch.
2.0	Ein Hund schaut in das Schwimmbad.	Ein Hund läuft um einen Pool herum.
5.0	Ein Mann buttert ein Stück Brot.	Ein Mann wendet Butter auf Brot an.
1.8	Ein Mann schneidet Tomaten in Stücke.	Eine Frau schneidet etwas Gemüse.
2.4	Drei Mädchen im Teenageralter tanzten im Zimmer.	Einige Mädchen im Teenageralter tanzen für die Kamera.
2.4	Ein Löwe läuft.	Ein Löwe ist in einem Stift.
0.4	Ein Mann, der auf ein Auto schießt.	Ein Mann schneidet eine Kartoffel.
4.2	Ein schwarzes Pferd läuft herum.	Das Pferd läuft.
0.0	Eine Frau hat Garnelen geerntet.	Ein Mann tanzt im Regen.
0.0	Ein Mann reitet auf einem Pferd.	Eine Frau wäscht einen Gefrierschrank.
0.8	Ein Mann geht einen Weg hinunter.	Ein Mann geht über ein dichtes Seil.
1.4	Ein Mann schneidet eine Kartoffel.	Eine Frau schneidet ein Jalepeno.
1.5	Ein Hund bellt an einem Ball.	Ein Hund schwimmt nach einem Tennisball.
2.5	Ein Kind läuft weg von einem Fisch, der auf einer Angelrute herumschwingt.	Ein kleines Kind läuft um eine Angelrute herum.
2.5	Ein Mann geht auf einem Weg durch die Wildnis.	Ein Mann geht eine Straße hinunter.
3.5	Ein älterer Mann spricht auf einem Podium.	Ein Mann hält eine Rede auf dem Podium.
3.4	Ein Mann, der in Zeitlupe auf einem Pferd reitet.	Ein Mann reitet auf einem Pferd.
3.8	Eine Person schneidet etwas Burrata-Käse.	Die Person schneidet Käse.
3.8	Der Mann schießt ein automatisches Gewehr.	Ein Mann schießt eine Waffe.
1.5	Ein Mann zerquetscht Knoblauch mit der Rückseite eines Messers.	Eine Frau schneidet Fleisch mit einem Messer.
0.5	Eine Frau feiert ihre Fingernägel mit einem Schmirgelbrett.	Eine Frau füttert ihr Baby mit einer Flasche.
0.0	Ein Mann reitet auf einem Skateboard.	Eine Frau schneidet eine Kartoffel.
0.0	Eine Frau duscht.	Ein Mann reitet auf einem weißen Pferd.
0.8	Ein Mann tanzt.	Ein Mann reitet auf einem Pferd.
0.85	Ein Mann rudern ein Boot.	Ein Mann schießt eine Waffe ab.
3.4	Ein Mann schwingt von einem an der Decke befestigten Seil.	Ein Mann schwingt an einem Seil.
0.4	Eine Frau reitet ein Pferd am Strand.	Ein Mann trägt einen anderen Mann auf dem Rücken.
1.75	Ein Mann hält ein kleines Tier in einer Hand.	Ein Mann zeigt einen kleinen Affen.
3.25	Eine Person faltet ein quadratisches Papierstück.	Ein Mann faltet Papier.
0.75	Eine Person braten Fleisch in einer Pfanne.	Eine Person hält einen Stinktier.
0.0	Ein Schimpanse tut einer Frau weh.	Ein Mann fährt ein Auto.
0.0	Die Frau schält Garnelen.	Der Mann hält einen Lemur.
4.25	Zwei Zebras spielen.	Zebras sind Geselligkeit.
1.8	Eine Frau schneidet Butter.	Eine Frau schneidet Tofu.
3.2	Manche Männer spielen Gitarren.	Drei Männer spielen Gitarren und singen zusammen.
3.6	Die Elefanten sprühten Wasser auf sich selbst.	Elefanten sprühen sich mit Wasser.
2.6	Ein Hund saß an der Theke eines Ladens.	Der Hund steht an der Theke.
3.2	Jemand bohrt ein Loch in einen Holzstreifen mit einer Bohrmaschine.	Ein Mann bohrt ein Loch in ein Stück Holz.
2.8	Eine Frau schneidet etwas Gemüse.	Die Frau würfelt Knoblauch.
4.6	Ein Dachs gräben ein Loch.	Ein Dachs gräbt die Erde.
0.0	Eine Frau ist Wasserski auf einem See.	Ein Mann spielt Flöte.
0.25	Ein Mädchen spielt Geige.	Ein Baby lacht und kichert.
3.923	Ein Hubschrauber landet auf einem Hubschrauberlandeplatz.	Ein Hubschrauber landet.
2.75	Eine Frau schneidet ein Huhn auf.	Eine Frau schneidet Fleisch.
0.0	Eine Frau schneidet eine Gurke.	Ein Mann spielt Gitarre.
3.0	Eine Frau reitet einen Elefanten vor einer anbetenden Menge.	Eine Frau reitet einen Elefanten.
3.8	Ein Welpe gleitet rückwärts entlang des Bodens.	Ein Welpe schiebt sich rückwärts.
4.6	Eine Frau spaltet Knoblauchzehen.	Eine Frau bricht einen Knoblauchkopf in Nelken.
2.6	Ein Hund schaut in das Schwimmbad.	Ein Hund geht am Rande eines Pools entlang.
3.6	Eine Frau mischt eine Schönheitsbehandlung in einem Glas.	Eine Frau mischt eine Creme in einem Glas mit einem Löffel.
3.6	Ein Mann zeichnet ein Bild.	Eine Person zeichnet.
1.0	Eine Frau pflückt Tomaten.	Eine Frau gießt Teig in eine Schüssel.
2.75	Ein Mann schaut sich einen Computermonitor an.	Ein Mann benutzt einen Laptop.
1.25	Der Junge reitet auf einem Dreirad.	Eine Frau reitet auf einem Wasserroller.
2.75	Zwei Männer konkurrieren in einem Reifenrollrennen.	Zwei Menschen haben Traktorreifen in einem Rennen umgedreht.
0.0	Eine Person schneidet ein Fleisch.	Eine Person, die einen mechanischen Bullen reitet
0.0	Ein Mann spielt Violine.	Eine Frau benutzt eine Nähmaschine.
2.4	Das Baby kroch durch die Tür.	Ein Baby kriecht über den Boden.
2.2	Ein Mann spielt Keyboard.	Eine Person spielt Klavier.
0.2	Ein Mann riecht zwei Pizzen.	Eine Frau füttert einen Mann.
2.8	Ein Affe zieht den Schwanz eines Hundes.	Ein Affe necken einen Hund im Zoo.
4.0	Ein Hund liegt auf dem Rücken auf einem Holzboden.	Ein Hund liegt auf dem Boden.
0.0	Eine Frau braten etwas in der Pfanne.	Ein Mann spielt seine Gitarre.
5.0	Ein Mann legt Würze in eine Schüssel mit Wasser.	Der Mann hat Gewürz zu Wasser in einer Schüssel hinzugefügt.
0.0	Eine ältere Frau gießt Öl in eine Pfanne.	Ein gefesselter Mann setzt ins Wasser.
3.2	Eine Frau hacken eine Zwiebel.	Eine Frau schneidet teilweise in die Hälfte einer Zwiebel.
3.5	Die Frau nahm das Känguru auf.	Eine Frau trägt ein Känguru.
1.75	Ein Hund beißt auf eine Dose.	Ein Hund öffnet eine Dose Essen.
1.25	Eine Frau entbeint einen Fisch.	Ein Mann fängt einen Fisch.
0.833	Ein Mann mäht Gras.	Ein Mann hat Beton gedrungen.
0.0	Eine Katze schaut einen Fernseher.	Ein Mann schneidet einen Urlaub.
3.75	Der Junge steckt in der Tür der Hundehütte fest.	Ein Kind steckt in einem Hundehaus fest.
2.75	Die Leute flippen in ein Schwimmbad.	Männer fallen in einen Pool.
3.8	Eine Frau schwimmt unter Wasser.	Eine Frau schwimmt.
0.2	Ein Mann spielt Gitarre.	Eine Frau tanzt.
3.4	Ein Flugzeug fliegt in der Luft.	Ein Flugzeug von South African Airways fliegt in einem blauen Himmel.
1.4	Ein Bär rennt vor zwei Hunden.	Ein Bär kämpft gegen Wölfe.
3.8	Eine Frau ruht in einem schwimmenden Floß aus.	Eine Frau entspannt sich in einem Schlauch.
0.4	Ein Mann stinkt in einem Operationssaal.	Ein Mann küsst eine Frau auf der Bühne.
0.0	Ein Mann hält ein Blatt.	Eine Frau schaut Fernsehen.
0.0	Eine Person reitet ein Pferd.	Eine Frau schneidet Kartoffeln.
